Term,es,nes,pval,fdr,geneset_size,matched_size,genes
Zinc Ion Binding (GO:0008270),0.2420788124909359,1.161976698362554,0.11556240369799692,0.4058137881550214,338,302,"GLI2,ZMYND8,POLR1A,SLC4A8,ADAM33,ENPP1,RNF26,USP33,POLR2A,SEC24C,PAPPA,ZMYND11,NSD1,ACER3,TNKS,GRIN2A,HDAC4,SHANK3,RAG1,CDA,KAT6A,ECE1,MT3,HHIP,MT2A,RPH3A,ADA,MT1E,KDM5A,KMT2A,WT1,ADAMTS4,TET2,IDE,PARP1,PTPN1,KPNB1,TAB3,PRDM2,SKI,RICTOR,DPEP1,SIRT2,TET3,RBAK-RBAKDN,KDM2A,APOBEC3G,POLR3A,ERAP1,POLR1B,ZKSCAN5,MT1X,QPCT,ZNF2,CA9,CYLD,ARIH1,SEC24D,HIF1AN,ZNF184,MT1F,LNPEP,NT5E,DPP3,APOBEC3F,MMP9,ASAH2,PITRM1,BAZ1B,SAP30L,ZDHHC20,TET1,CLIP1,TARS1,ZFPM2,NPEPPS,FBXL19,RBSN,PKMYT1,SUV39H2,DPF3,ADH5,PML,PIAS4,PDE2A,PHF2,SORD,RIGI,BIRC5,SLC39A4,ZNF75D,TRIM8,MMP23B,CXXC5,PDXK,SIRT3,RABIF,WDFY1,ZNF282,KMT2B,UHRF1,SEC24A,GDA,ZMYM2,KDM5C,TRIM28,MMP16,CA2,MYCBP2,TRIM24,KDM5B,SEC23A,SIRT5,PEX10,MORC2,KDM4A,RASSF1,CD4,ENPP5,ZNF90,NUDT12,GRIN2B,SLU7,BLM,ATP13A2,TRAF7,NUDT3,MSRB3,ZNF84,P2RX4,POLR3B,BHMT2,ZNF711,APIP,LANCL1,TK1,CPA2,TRHDE,SEC24B,MBD1,LITAF,KLF4,ERAP2,GLO1,SMPD1,ZCCHC4,ZNF93,TIMP1,D2HGDH,ZNF3,LIMS1,UPB1,RNF125,CHD3,ADAM8,DPYS,PHF14,SIVA1,ZNF92,DUSP12,PAPPA2,GCH1,MYRIP,ZNF331,ADAMTS13,MSRB2,CTCF,IKZF4,PHF8,LVRN,QPCTL,TAB2,EPRS1,TRIM2,POLA1,ITGB1BP2,CSRP1,CDO1,RC3H1,NAPEPLD,PHEX,SLFN13,ACE2,PRIM1,POLR3K,SAMHD1,CDIP1,RXRA,CHURC1-FNTB,ZACN,KDM2B,TES,ZNF195,PRKN,ENPP2,USP21,ESCO1,ZNF91,RNF112,DNAJC24,CHMP1A,HDAC10,MMP12,KDM1B,MDM4,KDM4C,TRIM54,NQO2,UBA5,ARHGEF2,BIRC2,SHH,PLA2G15,RABGGTB,RNF2,THAP1,RNF8,ZNF214,IFIH1,S100A13,CDADC1,EEA1,NRG1,ADAMTS3,TIMP2,SOD1,PHF5A,MSRB1,KNG1,PTGR2,ZNF8,ALKBH8,PRIMPOL,S100A7,PLSCR1,ITPR3,CXXC4,LACTB2,RPS27,RASGRP1,TNFSF10,SLC48A1,TP53,KDM7A,ZFPL1,RCHY1,SMPDL3B,ZFYVE1,CHORDC1,CALR,ZFP37,PEX12,ZNF675,EGR1,ZNF117,MEFV,DHX58,S100A9,PGGT1B,SIAH1,GALT,TIMM13,CRIP2,ALAD,CALB1,RPS29,ZDHHC15,ZNF185,TMEM163,SNRPC,SMAD3,ZNF212,PPARG,RNPEP,SLC30A8,MDM2,GTF2B,SMPDL3A,ISCU,TIMM10,ADH1C,SIRT6,LTA4H,RGN,COMMD3-BMI1,TIMM9,TIMM8B,S100A8,CNRIP1,IKZF5,ENPP7,ZNF593,ANPEP,CZIB,ENPP3,THAP11,ADA2,SNCA,POLR2L,ZNF205,BBOX1,ENPEP"
Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538),0.3227071185169166,1.1622492927651609,0.2313167259786477,0.4076409579902025,44,43,"CDKN2D,CCNT1,CCNQ,CCNF,KAT2B,CCNB1,CCND1,CDKN2C,CCNA2,CCNJ,CKS1B,CCNB2,CCNA1,CKS2,CCND3,CDKN2B,CCNP,CCNI,CCNY,CCNE1,CCNK,CNPPD1,HEXIM1,CDKN1B,INCA1,CCNE2,CDK5R1,HEXIM2,CCNB3,CCND2,CCNL2,CCNI2,CCNJL,CCNG1,CCNC,CDKN2A,CCNL1,CCNG2,CCNT2,CDPF1,CCNO,CCNH,CDK4"
Hormone Activity (GO:0005179),0.3104845464635853,1.158689929926722,0.2310405643738977,0.4093577736341534,88,53,"SST,IGF1,EDN3,FBN2,CPAMD8,NPY,PENK,NLRP3,NPPB,RIPK2,ERFE,NPPA,TRH,APLN,BMP10,PTHLH,UCN,PARD3,ECRG4,METRNL,CALCB,BGLAP,METRN,ADM,AMH,INHBB,GDF15,INHA,INHBA,GNRH1,HAMP,FBN1,EDN1,C1QTNF12,GPNMB,POMC,TOR2A,APELA,CCN3,KNG1,GHRL,ADIPOQ,CHGB,CORT,SPX,ADM2,EDN2,NPFF,AGXT,PTRH2,VGF,SCT,CHGA"
Metal Ion Transmembrane Transporter Activity (GO:0046873),0.3598847658785885,1.157073425320687,0.25622775800711745,0.4101219604432674,29,27,"SLC4A8,SLC39A2,ATP2B4,NIPA1,ATP2B1,ITPR2,CNNM4,MRS2,SLC11A1,UCP3,TRPM7,ATP2B3,MAGT1,MMGT1,ITPR1,TRPM6,SLC8A2,SLC41A2,SLC41A1,SLC12A6,SLC11A2,CNNM2,SLC12A2,TMEM165,TUSC3,MINDY4,ZDHHC13"
Solute:Inorganic Anion Antiporter Activity (GO:0005452),0.416726554418181,1.1426548035614552,0.291044776119403,0.43355844587436354,20,15,"SLC4A8,SLC26A2,SLC4A9,SLC4A2,SLC25A14,SLC26A1,SLC4A3,SLC26A11,SLC26A6,SLC25A30,SLC26A7,SLC26A4,SLC22A8,SLC26A9,SLC26A3"
Ubiquitin Protein Ligase Activity (GO:0061630),0.237911399314462,1.1412484830882816,0.16329479768786126,0.433870734162936,313,271,"NEURL1B,RNF123,UBR1,RNF152,CUL3,UBR4,TRIM71,UBE3A,RNF26,HERC2,HUWE1,ANKIB1,TRIM37,UBE3C,UBR5,RNF157,RC3H2,RAG1,TRIM59,RNF180,TRIM32,RNF145,PJA1,TRIM23,ITCH,HECW2,SHPRH,RNF150,TRIP12,RNF213,RNF111,TRIM72,MARCHF6,RFWD3,NFX1,UBR2,PELI2,NEDD4L,TRAF3IP2,CBL,AREL1,HECTD1,ARIH1,MIB1,WWP1,UBE3B,ASB1,CUL9,HLTF,RNF6,UBE2C,UBE4B,NT5C2,TRIM50,FBXO2,HERC3,RNF19A,NEURL1,UHRF2,SIAH3,UBR3,SMURF1,UBE4A,TRIM56,LTN1,RNF144B,DTX4,BFAR,TOPORS,TRIM44,UBE2K,PJA2,SMURF2,TRIM9,HERC4,ARIH2,RBBP6,NCCRP1,MGRN1,ARK2C,RLIM,SH3RF1,TRIM8,CUL4A,TRIM35,PELI3,UHRF1,WDR24,TRIM3,TRIM68,NEDD4,NEURL4,TRAIP,SH3RF3,TRIM4,TRIM28,MYCBP2,RNF40,TRIM24,TRIM65,PEX10,MEX3C,ARK2N,DTX2,RNF31,RNF14,RNF216,KCMF1,TRAF7,WWP2,CBLL1,TRIM45,MYLIP,CDC42,CCAR1,TRAF3,RNF121,TRIM41,RNF44,UBE2O,RNF13,PPIL2,IRF2BP1,DTX3L,PELI1,TRIM69,LRSAM1,TMEM129,MARCHF7,TRIM25,RNF125,TRIM39,UBE3D,RNF4,PDZRN3,FBXO44,MKRN2,BIRC3,TRIM55,ASB2,ZNRF3,TRAF6,UBOX5,RNF135,HACE1,TRIM26,TRIM22,TRIM49,DTX1,PRPF19,NEURL3,TRIM2,RNF114,RC3H1,IRF2BPL,RNF38,HECTD2,RNF208,FANCL,RNF144A,RNF168,MUL1,RNF10,MSL2,MMAB,RNF181,MARCHF5,SYVN1,ZNRF1,TRAF5,PRKN,TANK,FBXL22,VPS11,NHLRC3,RNF112,TRIM11,ZNF598,TRIM52,RNF41,TRIM7,SIAH2,MARCHF8,TRIM62,RNF215,RNF11,RNF19B,RNF183,VPS18,TRIM54,UBE2D1,NHLRC1,RNF139,BIRC2,RNF220,TRIM47,RNF126,RNF2,RFFL,TRIM63,TRIM17,MKRN1,RNF8,FBXO17,RNF128,TRIM27,UBE2D3,RNF34,RNF146,TRIM61,RNF115,ANAPC11,RNF20,RNFT2,RNF113A,HERC6,STUB1,RCHY1,UBE2D2,TRIM58,RNF175,RNF149,PEX12,GID4,MEFV,TRIM13,RNF5,RBX1,SIAH1,MIB2,TRIM73,HERC5,XIAP,MMACHC,TRIM14,TRIM21,RNF138,NEURL2,TRIM38,PEX2,RNF185,RNF103,ASB12,RNF122,TRIM5,RNF227,RNF186,RNF7,RNF130,TRIM74,MARCHF1,FBXO27,MDM2,RING1,MARCHF2,NSMCE1,RNF25,FBXO6,BSPRY,RNF217,CARD16,RNF166,RNF43,RNFT1,SH3RF2,PPP1R11,RPGR,DTX3,RNF167,RNF228,ZNRF2"
Methylation-Dependent Protein Binding (GO:0140034),0.29897306967693676,1.1401214750801427,0.25,0.43389381380998515,66,63,"ZMYND8,ZMYND11,BPTF,CBX2,PHF20L1,ZZEF1,CHD8,L3MBTL3,NCAPG2,CDYL,NCAPD3,SUZ12,MORC4,SPIN4,TP53BP1,CHD1,CBX5,PHF19,MSH6,PHF2,LRWD1,UHRF1,KMT2E,SETD5,TRIM24,ZZZ3,MBTD1,PHF1,FMR1,CBX1,CBX3,SPIN3,WDR5,PHF8,PYGO1,SGF29,KDM8,RRP8,CBX8,HDGFL2,MORC3,MTF2,ING3,PWWP2A,CXXC1,MPHOSPH8,ZCWPW2,ING4,CBX6,SPIN2A,SPNS1,ZCWPW1,L3MBTL1,KDM7A,L3MBTL2,ING5,TDRD3,SPIN2B,GLYR1,PHF13,MSL3,ING1,JMJD7"
Adenine Nucleotide Transmembrane Transporter Activity (GO:0000295),0.40377957262455344,1.1429095987273297,0.2828096118299446,0.43546331272437705,18,16,"SLC25A41,SLC25A17,SLC19A1,SLC17A9,SLC25A53,SLC25A23,PANX1,SLC25A5,SLC25A24,SLC25A51,LRRC8A,SLC25A52,SLC25A42,SLC25A25,SLC35B2,SLC35B3"
Core Promoter Sequence-Specific DNA Binding (GO:0001046),0.3333660802425406,1.1333040813364912,0.2838827838827839,0.4450447958699477,36,35,"GTF2A1,POU2F1,TAF1,BAZ2A,AGO2,RFX7,KLF10,SMARCA4,RUVBL2,NR3C1,RRN3,H3-3B,JPH2,FOXP1,TAF4,ZBTB17,STAT1,SNAPC3,H2AZ1,TBP,TAF1B,UBTF,TAF1C,MMP12,MYC,HDAC1,PARK7,TP53,RELA,DRAP1,FOS,SMARCB1,GTF2B,NPM1,TBPL1"
Cadherin Binding Involved in Cell-Cell Adhesion (GO:0098641),0.3976576959955572,1.1247496928844019,0.31150442477876106,0.46031141612838045,17,16,"BAIAP2L1,BAIAP2,KRT18,S100A11,PAK4,PDLIM5,RAB10,TMOD3,CDC42EP1,CNN3,PKP3,PDLIM1,PPP1CA,ANXA2,STXBP6,EPCAM"
Ubiquitin-Like Protein Ligase Activity (GO:0061659),0.232866204190147,1.1231795393118849,0.17604617604617603,0.46104399667831875,326,284,"NEURL1B,RNF123,UBR1,RNF152,CUL3,UBR4,TRIM71,UBE3A,RNF26,HERC2,HUWE1,ANKIB1,TRIM37,UBE3C,UBR5,RNF157,RC3H2,RAG1,TRIM59,RNF180,TRIM32,RNF145,PJA1,TRIM23,ITCH,HECW2,ZMIZ1,SHPRH,RNF150,TRIP12,RNF213,RNF111,TRIM72,MARCHF6,RFWD3,NFX1,UBR2,PELI2,NEDD4L,TRAF3IP2,CBL,AREL1,HECTD1,ARIH1,MIB1,WWP1,UBE3B,ASB1,CUL9,HLTF,RNF6,UBE2C,RANBP2,NT5C2,UFL1,TRIM50,FBXO2,HERC3,RNF19A,NEURL1,UHRF2,SIAH3,UBR3,SMURF1,TRIM56,LTN1,RNF144B,DTX4,BFAR,TOPORS,TRIM44,PJA2,PML,PIAS4,SMURF2,ATG5,TRIM9,HERC4,ARIH2,RBBP6,NCCRP1,MGRN1,ARK2C,PIAS1,RLIM,SH3RF1,TRIM8,CUL4A,TRIM35,PELI3,UHRF1,WDR24,TRIM3,TRIM68,ZMIZ2,NEDD4,NEURL4,TRAIP,SH3RF3,TRIM4,TRIM28,MYCBP2,RNF40,TRIM24,TRIM65,PEX10,MEX3C,ARK2N,DTX2,RNF31,RNF14,RNF216,KCMF1,TRAF7,WWP2,CBLL1,TRIM45,PIAS3,PIAS2,MYLIP,CDC42,CCAR1,TRAF3,RNF121,TRIM41,RNF44,UBE2O,RNF13,PPIL2,IRF2BP1,DTX3L,PELI1,TRIM69,LRSAM1,TMEM129,MARCHF7,TRIM25,RNF125,TRIM39,UBE3D,RNF4,PDZRN3,FBXO44,MKRN2,BIRC3,TRIM55,ASB2,ZNRF3,TRAF6,RNF135,HACE1,TRIM26,TRIM22,TRIM49,DTX1,PRPF19,NEURL3,TRIM2,RNF114,RC3H1,ZBED1,IRF2BPL,RNF38,HECTD2,RNF208,FANCL,RNF144A,MUL1,RNF10,MSL2,MMAB,RNF181,MARCHF5,SYVN1,ZNRF1,TRAF5,PRKN,EGR2,TANK,FBXL22,VPS11,NHLRC3,RNF112,TRIM11,ZNF598,TRIM52,ATG12,ZNF451,RNF41,TRIM7,SIAH2,MARCHF8,TRIM62,RNF215,KIAA1586,RNF11,CBX4,RNF19B,RNF183,VPS18,TRIM54,UBE2D1,NHLRC1,RNF139,BIRC2,RNF220,TRIM47,RNF126,RNF2,RFFL,TRIM63,TRIM17,MKRN1,RNF8,NSMCE2,FBXO17,RNF128,TRIM27,UBE2D3,RNF34,RNF146,ATG3,TRIM61,RNF115,ANAPC11,RNF20,RNFT2,RNF113A,HERC6,STUB1,RCHY1,UBE2D2,TRIM58,RNF175,RNF149,PEX12,GID4,MEFV,TRIM13,RNF5,RBX1,SIAH1,MIB2,TRIM73,HERC5,XIAP,MMACHC,TRIM14,TRIM21,RNF138,NEURL2,TRIM38,PEX2,RNF185,RNF103,ASB12,RNF122,TRIM5,RNF227,RNF186,RNF7,RNF130,TRIM74,MARCHF1,FBXO27,MDM2,RING1,MARCHF2,NSMCE1,RNF25,FBXO6,BSPRY,RNF217,CARD16,RNF166,RNF43,RNFT1,SH3RF2,PPP1R11,RPGR,DTX3,RNF167,RNF228,ZNRF2"
Antiporter Activity (GO:0015297),0.3070663232473037,1.1118231816797568,0.2864864864864865,0.48220632062090624,52,46,"SLC4A8,SLC7A5,SLC1A5,SLC26A2,CLCN5,SLC47A1,SLC7A8,SLC19A1,SLC35E2B,SLC6A4,SLC4A2,SLC25A14,SLC26A1,SLC18A3,SLC35D3,SLC4A3,SLC35E1,SLC35C2,UCP2,SLC18A1,SLC26A6,SLC35C1,SLC25A5,SLC35D1,SLC25A30,SLC25A4,SLC35E4,SLC25A15,SLC35A1,SLC25A20,SLC7A6,CLCN6,SLC7A11,SLC35E3,SLC22A8,CLCN4,TMEM241,SLC26A9,SLC18B1,SLC25A6,SLC25A26,SLC25A16,SLC35B1,SLC35D2,SLC26A3,SLC7A9"
Chloride Transmembrane Transporter Activity (GO:0015108),0.2819293653644264,1.1020887735190446,0.2835314091680815,0.489182872997255,86,69,"GABRP,TTYH2,ANO4,SLC4A8,GABRB2,SLC26A2,OCA2,SLC4A9,SLC1A1,ANO3,SLC4A2,SLC25A14,GABRA4,ANO6,SLC12A5,GABRB1,GABRG3,SLC26A1,GABRA3,GABRA2,GABRG2,TTYH3,SLC4A3,ANO5,GLRB,SLC26A11,GABRQ,SLC17A7,CLIC4,CLIC1,SLC17A8,UCP2,FXYD3,SLC26A6,GABRE,FXYD1,CLCN3,ANO8,CFTR,CLCNKA,CLCC1,SLC26A7,SLC1A4,CLCN6,GABRR2,CLCNKB,SLC26A4,BEST4,CLCN7,SLC12A9,GABRB3,GABRD,CLCA2,CLCN4,SLC25A27,ANO7,APOL1,SLC26A9,MFSD8,SLC12A2,CLCA1,CLIC2,BEST1,GABRA5,ANO10,CLIC6,TTYH1,SLC26A3,ANO9"
Nuclear Steroid Receptor Activity (GO:0003707),0.39467855228100207,1.103211182850872,0.32299270072992703,0.4893625366644286,17,15,"PAQR8,PGR,PPARA,PPARD,PDE3A,NR2C1,GPER1,VDR,ESR2,PAQR7,NR1D1,NR3C2,PGRMC2,ESR1,NR4A3"
Receptor Antagonist Activity (GO:0048019),0.3933860878837505,1.1057917668060708,0.32196969696969696,0.4917815320170476,17,15,"WFIKKN1,PXDN,IL1RN,FST,CCL5,IGSF1,IL18BP,DKK4,ESR2,WFIKKN2,DKK2,LRPAP1,DKKL1,DKK1,DKK3"
Monoatomic Anion Transmembrane Transporter Activity (GO:0008509),0.34114133118100387,1.1032627266355126,0.3087719298245614,0.49180638118157044,33,28,"SLC4A8,SLC26A2,SLC5A6,SLC1A1,SLC19A1,SLC4A2,SLC25A14,SLC12A5,SLC26A1,MCOLN3,PANX1,AQP6,SLC26A11,UCP2,SLC26A6,SLC39A14,CFTR,MCOLN1,SLC26A7,LRRC8A,CLCN6,SLC26A4,CLCN7,SLC25A27,SLC26A9,MFSD8,SLC26A3,SLC5A5"
Nuclear Thyroid Hormone Receptor Binding (GO:0046966),0.35887579604354625,1.1033898012647798,0.3157894736842105,0.49407806318017583,26,25,"NCOA6,NSD1,NCOR1,MED12,TRIP12,MED13,NCOA3,MBD4,TRIP6,JMJD1C,GTF2H1,BRD8,TACC1,MED24,TAF7,THRAP3,MED16,MED17,PRMT2,TAF11,ZNHIT3,MED4,GTF2B,HMGN3,MED30"
Transmembrane Receptor Protein Serine/Threonine Kinase Binding (GO:0070696),0.3728108931126392,1.0917584190640217,0.336996336996337,0.5084908748318951,17,17,"RSPO2,BMP4,PYCARD,ELAPOR2,SMURF1,BMP3,SCUBE3,BMP5,CDH5,SRC,CFC1B,BMP6,CRIPTO3,BMP7,FKBP1A,SMAD7,CFC1"
Phosphatidylinositol Binding (GO:0035091),0.25808150974153665,1.0897278067208815,0.2832764505119454,0.5102388828736588,109,105,"EPB41,SNX19,SESTD1,RPH3A,DENND1B,TNFAIP8L3,NLRP3,DPEP1,ITPR2,ZFYVE16,CEACAM5,NCF1,RUBCNL,BLTP2,ANKFY1,APPL1,GPAA1,MREG,SCARB1,SNX16,FCHO2,RUBCN,SNX25,SNX18,WDPCP,SNX9,SNX33,ESYT2,ESYT1,WDFY3,HIP1,APPL2,PITPNM2,PXK,PHF12,PARD3,WDFY1,SLC9A3,GAP43,FES,PICALM,TRPV1,SCIN,MAPT,C2CD2L,SNX8,TULP3,DENND1A,NUMA1,PITPNC1,SNX1,RCSD1,SH3YL1,SNX17,CCDC88A,PARD3B,PIGU,SNX10,ITPR1,SNX27,SNX14,MPPE1,ZFYVE9,WASHC2C,STK39,WASHC2A,SNX11,PITPNM1,FUZ,THY1,ESYT3,HIP1R,PIGK,PITPNA,MYO1E,ING3,SNX5,DENND1C,SNX24,PITPNB,PLEKHF1,SNX13,EEA1,BCAS3,RNF34,GRAMD2A,MITD1,ITPR3,SNX12,SNX21,EXOC8,INTU,ZFYVE1,SNX22,SNX2,SNX4,PLEKHF2,MTM1,GRB7,SEPTIN12,MCF2L,WDR45,FRMPD2,PLEKHN1,SNAP91"
Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),0.2272201985374136,1.0851959002181824,0.2721804511278195,0.5150617688189206,274,253,"RGS16,ENTPD3,CRACR2A,RGS5,RGS1,RASL10A,RHOU,BMS1,ENTPD4,BCL11B,AGAP1,ARHGAP5,GNAI3,GNB3,GNAQ,MED12,RAB26,DIRAS2,TRIM23,SEPTIN11,GSPT1,RAB6B,RAB40A,EFTUD2,RAB37,RAP2A,RAB8B,RGS12,RAB36,RAP2B,GNAT2,SRPRA,RGS4,AKR1B10,DNAJC27,AGAP9,GTPBP1,GNAZ,SEPTIN7,RAB27B,AGAP4,EFL1,NCOA3,ENTPD1,RAB23,TSR1,RGS6,RAB31,RERG,TUBA1B,RAB43,TPPP,DHX9,SEPTIN8,ATL2,RND2,DNM2,RGS20,SEPTIN3,HBS1L,NKIRAS2,DDX3X,SEPTIN10,GNB1,RAP1GAP,DNM1,DNM3,RGS7,GFM1,GNA11,RHEB,RAB11A,RRAS,DNM1L,GNA12,RAN,RHOC,RAB39A,IRGQ,RALA,TUFM,RAC2,MMAA,RGS19,RALB,RAB3C,GNAS,GFM2,RNASE1,RAB6A,EEF2,MFN2,SEPTIN2,RAB4B,RRAS2,RAB2A,RAB5B,NRAS,SEPTIN4,RABL3,RAB3A,RGS17,RAB38,EEF1A2,GNG11,AGAP3,GNB5,CDC42,SRP54,RGS3,RHOV,RHEBL1,RHOG,RAB7A,RRAGD,GMNN,ZNG1E,MX2,RHOF,RAB18,ARF4,AGAP5,SAR1A,GBP6,GNAO1,RAB25,SAR1B,DIRAS1,ABCE1,RAB42,ENTPD7,RGS14,RAP1A,GCH1,VTA1,MTG2,ARF1,SYNGAP1,RAB39B,ARL8A,EIF5B,GNAI1,EEF1A1,RAB5A,AGAP6,GBP5,RAB28,GNL1,GPN2,RGS10,RAB17,GNAL,RHOBTB1,RRAGB,ATL3,LSG1,RASD2,RAP2C,MX1,GNL2,RAB8A,DHX29,RHOJ,RAB1A,RAB22A,RNF112,RHOBTB2,RAB3B,NKIRAS1,RABL2B,RAB24,SEPTIN9,ARL8B,RAB4A,GBP4,RAB29,ARFRP1,MMUT,RHOA,LRRK2,GBP2,RAB9A,GNA13,RAB27A,RND3,ARHGDIB,RND1,RAB40C,GTPBP10,RAB19,MTG1,NTPCR,DIRAS3,RAB33B,MFN1,GPN1,RHOT2,RAB40B,GTPBP4,RHOT1,IFT27,RRAGC,RAB3D,RAB6D,ENTPD8,RGS2,EEFSEC,RAB30,ARF6,RHOQ,GPN3,SEPTIN1,RAB21,RAB1B,HRAS,RGS9BP,GNAI2,RASL12,SEPTIN6,IFT22,RAB5C,RAB34,RAB32,GNG5,GNB2,RAB12,RHOB,SEPTIN5,RASEF,DRG2,GNG10,RABL2A,RAP1B,RAB35,SEPTIN12,RAB6C,RAB20,TBCC,MRAS,RGS11,RAB14,GNG3,RAB2B,RAB33A,GNA14,ATL1,ARL2,ENTPD2,RRAGA,AGAP2,RAB13,GBP1,GSPT2"
"Phosphotransferase Activity, Alcohol Group as Acceptor (GO:0016773)",0.27133686641976934,1.0856356001011682,0.298811544991511,0.5169285501464709,79,75,"DGKG,XYLB,UCK2,COLEC12,DGKH,IP6K3,DGKK,ETNK2,PIK3C3,NADK,PANK3,PANK4,NT5C2,DGKI,PGM2L1,PIP5K1B,PAPSS1,HOOK3,SPHK1,PIK3R1,HOOK2,PIP5K1C,TAC4,PKM,PDXK,NMRK2,FCSK,DGKD,PIP5K1A,GNE,DCK,FAM20B,TKFC,MVK,CHKA,GK,GK5,DGKZ,DGKQ,SHPK,TRPT1,GALK2,AGK,PAPSS2,RFK,POMK,IP6K1,UCK1,FGGY,NADK2,DOLK,IP6K2,GALK1,NT5C3A,DGKE,COASY,DCAKD,DGKA,KHK,ETNK1,AK1,PANK1,FAM20A,CHKB,GLYCTK,NOL9,UPRT,IPMK,RBKS,PANK2,HYKK,SPHK2,IDNK,DGKB,NMRK1"
Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005231),0.3706187994418656,1.0790151565949777,0.3532608695652174,0.5261519640211031,33,18,"CHRND,CHRNA3,CHRNA4,P2RX7,CHRNA5,P2RX5,CHRNB4,GLRB,CHRNA10,TRPV1,CHRNB1,CHRNE,P2RX4,GRIK5,P2RX6,CHRNB2,P2RX1,CHRNA1"
Transforming Growth Factor Beta Receptor Binding (GO:0005160),0.3592374736707184,1.0704660907514096,0.3891891891891892,0.543224935056656,20,20,"TGFBRAP1,USP15,TGFB3,INHBC,TGFB1,SMURF1,FERMT2,LRG1,TGFBR1,TGFBR3,TGFB2,TGFBR2,SMAD2,BAMBI,SMAD6,FKBP1A,ENG,TGFBR3L,SMAD3,SMAD7"
cAMP Binding (GO:0030552),0.377662140684208,1.0646279890838635,0.34724857685009486,0.5457006459491697,18,16,"RAPGEF2,PDE10A,HCN1,PRKAR2A,PDE2A,PRKAR2B,PRKAR1A,POPDC3,PDE4B,PDE4A,RAPGEF3,PDE4D,POPDC2,PRKAR1B,CNGA1,RAPGEF4"
Hexosyltransferase Activity (GO:0016758),0.2644575189566997,1.065628412243308,0.3271186440677966,0.5462118927672714,99,80,"HAS2,TMTC1,B4GALT5,FUT3,UGT2B11,UGT3A1,HAS3,B4GALNT4,B4GALNT1,UGT2B28,DPY19L3,POMGNT1,GBE1,MOGAT1,POGLUT3,UGT3A2,AGL,FUT4,LARGE2,POGLUT2,B4GALT2,UGT2B7,MGAT4A,B4GALT3,TMTC4,DPY19L4,B4GALT4,EXTL1,GCNT4,CSGALNACT1,OGT,GCNT2,GBA2,POGLUT1,POMT2,MTAP,GBA1,EXT2,ALG6,CSGALNACT2,B3GLCT,B4GALT6,HEXA,PIGV,POMGNT2,MGAT4B,PIGM,FUT1,UGT2A3,TMTC3,PIGZ,B4GALT1,POMT1,MGAT4C,EXT1,ALG1,B4GALNT3,B4GAT1,DPY19L2,GCNT3,DPY19L1,B3GALNT2,HEXB,LARGE1,ALG12,B3GNT7,FUT10,DDX18,FUT2,FUT11,PIGB,POFUT1,B3GAT3,FUT5,UGT2B15,ALG1L2,B4GALNT2,B4GALT7,UGT2B4,TMTC2"
Delayed Rectifier Potassium Channel Activity (GO:0005251),0.3636570548339458,1.0674591011689254,0.36427320490367776,0.5472997579238492,24,19,"KCNA6,KCNA2,KCNC4,KCNB1,KCNA4,KCNA7,KCNC3,KCNE2,KCNE3,KCNE5,KCNB2,KCNC1,KCNQ1,KCNH8,KCNH2,KCNE1,KCNE4,KCNA5,KCNS3"
N-acyltransferase Activity (GO:0016410),0.3323933907007297,1.0656829048301757,0.36713286713286714,0.5488037217510457,35,26,"NMT1,GLYATL1,TGM2,EP300,CERS2,ESCO2,CREBBP,CERS6,SLC38A1,NAT10,PLAAT1,CERS1,TLCD3B,NAT14,ESCO1,LIPT1,SMARCE1,PLAAT4,KAT8,NAA80,NAA10,PLAAT3,CERS4,SAT2,KAT5,NMT2"
